core_clause_id	fgravegow_clause_id	clause_sha256
149	631	7A99A421309829CA59EB0C4EA753AD60B2E7AB119536572CE227EC02FD2EDFE2
150	633	10F975C9BFE2714265F690E025378EDD3B34E691E2F76B9B6A1AD256C02493AF
151	635	E031E76310DC6A7BD091DB2D77F708D94E34117E8825AB0B6898129EF4C6C7CD
152	637	B8352E24EEE349E128AC1B6C15D2FA6E680A8B8442C4A20DB5392ECCED04ACD3
153	639	2D97ED1A85B07FB8449DE7AC9A8A38CF57BDFCC6C67820230073C5DCC5553DFE
154	641	1BA9128AA182632BB76AA0B18819F963DAA35FF9AB20FC5F178B1AAB879E7854
155	643	95846FB72A351BB814F1BD863C2145F1B3186EC0D73B9745EA2F768DD247657A
156	645	CE68FFB8137DF2CD92881A27AE4A71F208B4561D28928E4ED09ED4FBD5CA2265
157	649	8FA41191C7A5A5724A298C0229ACC855706F55BAD9D09592BA2CCDCBFC03286C
158	651	591A981EC3DC850EF5984A9A62D7AF9608C740B8778467B98547CA09A679548B
159	655	B27769E5E43FE07AB60066B17FC0EDCC00AF8D2BFB5877F5AC0071434342CB69
160	657	E79E6BDB2EC295997D8915E0009938B33104AD1DE4124A0974C7446F6C564295
161	658	CDAFD4C40D57A4A90253EF5944E43EF94DA0D0085A9AF1D9EDACAA26B8B9C334
162	686	D0302C837F31E6D05AD03B7945485842D9EA596280B768C992E91CCBE84CC64D
163	694	E84B6F5519A87FFC011B72964E86EA12CF7D0DCF2280A6380225BCE6DE3CC4C6
164	695	9409C2B93A42F07B6CBC7E1378A3BF79BD1F6A8C41551BA86EEBA34C4EA9921A
165	696	4584E3DFBB57A7A6146704411C801D480F6D41F5B16605F4DEAD7E325DF5A4F7
166	697	42661ED6E349922BC3F68351DE1DE50057E918B5301147A947BEE633A49A68C3
167	698	D036D20264F7DF05F940FE027A27C6FD39A473C01657F2207304295B530F8254
168	699	E96E07A89F3BEE41831D85621E10B5C2857CDC527A0C48CBD313E8A03189FE3C
169	28087	5E35D2624EFF866751303C95B4C41E53FFEA69271C95155221FB93CE8FE1275C
170	37567	0CAACADC67696B3654DAA92D15E5FAD700871B2AC27018E6CA417C70F87161C7
171	44618	0E5165A07A987B765EF7998BF3A3AD9D27466DD1AE0CFB6F4A277C9F59E4FC88
172	45094	A14C6E227A9E4266BFED025A74FC3798B462DE8EE18087502CD923F838BFF075
173	46738	1BBD7B8F4260F1919CFC011F78A62EA183C43A5B68C46740146B9DBB5733A9A2
174	46849	8FBAF66188FFED06F08210CD002DF6C01589A60CC1E07A0B142A4003952E317C
175	49371	0B76580DA37FF7BC9EE2FB05917ED3643D3594D5A8C0219AE2E74C37F3085239
176	49383	3A8F4086529B8FBCEF71CA81B4C451E59BFD7021E3B2BEF6C2C30A68FC1A2CDD
177	49407	65636F2D87F09756CC977D199C29E7F967A80187E5272D5D85A769D750206D1E
178	49419	A17F62274376EEE86D26FC34F6120B0E8549D61582F243960F8416C4342A4D7F
179	49695	97411D6EEFF953CDC74D2F9F8382455E0501080A5C54CC021985A9FC7ADABEAF
180	49983	F732292286D92987D0BFB12DFC6F121F6B51234CD9B9830032965F90171D22FE
181	55298	D36CB64A3AE1982BBA8CC724DC65E2D737CFE78BDF713810520A9AAFA454753B
182	56942	AD34F5BEB17ED077A6126249C57E01063CDEEFFFA0B76E0F523BD91D5CC70888
183	59571	E051F192EC42B85FD0B8DF26D70E7EB56CE91864FE09A28AF3682282CF26E7CC
184	59607	C56C07C5CB702E2CE0AB0452C51E575D312803EE2C034E4A5F276EE23C2632D8
185	59619	456B3FE306A17E0D121A6727396CD596CCD507C25F26741301413657EA3FC91E
186	59895	68013A0D1CFF0199EEF1D8A1E3876183C7AF5D521D756FF0AD9CB00DB98F89FB
187	59907	470140DDFB246CCC4026FF1B5760BF036ED8F3DE7A034FCE8225A0BC99BBA4A5
188	65498	C56DED20C795A6044FE3BE69B1F66506DD80223089A4EEB2FE69A80B9D2CAB07
189	66938	A0CACDC9F724A6BD5DF673BE967DBAE3F1E6D3C18B8D010855BB2B509417344A
190	67063	090E4973B0332D41B51CEFA3340C717A82B925D7AAD48A927059C009FF10EEA1
191	69771	E6B10F06204506DB8C33A9715BA39D7FDD12319A684D87B9E36DC0852AD1A409
192	69807	AB2EACC0A4BBB14953400350A550B3431F545792C608ECC2E46EE4054C0989C8
193	69819	29DCB1D7B4A17B1C79C95D8D528C5F8F3A93D9778E426C8EBBBAC718043A9CAD
194	70095	ED555884CC4AD06D6FAC23DF6B3F8F95E381162A625F26188A884F8792452D50
195	70107	EC5C3471F4BDE8BE2F28E029757761FEB6D76C86CF9792C962654B918AB2C827
196	70383	0A555F1E7D1EA8910B8DAD8460792B9F4BB97B6B5DB10D4E04CD54D10C517075
197	70395	5112CB01E0C9801A43A4E44AC571E3CFBC51882AC1911878F35862D479395816
198	75694	0944CF83484E7E6325BF6BB6C549BBD23FF61E3D2218254016F0BA4342C99566
199	77138	8DC1521AED306D0D2861689622F19388D6FE4423A9228519E9CE40E9A6A84C9D
200	77338	16F67BA6BBB07EB052DF5AFBD7A1E177BFA228A14F088A7642EC130E795BC2DF
