core_clause_id	fcuj__clause_id	clause_sha256
96	697	42661ED6E349922BC3F68351DE1DE50057E918B5301147A947BEE633A49A68C3
97	698	D036D20264F7DF05F940FE027A27C6FD39A473C01657F2207304295B530F8254
98	699	E96E07A89F3BEE41831D85621E10B5C2857CDC527A0C48CBD313E8A03189FE3C
99	4615	BA25FDC7C5219F69B3CC9F64754AE95436E36075E934A59484CCC821568ABD7A
100	7641	F1316E17284AB2E67407C20A8C4CC2931A92BCCC895C729D5A6176F389F51827
101	9295	F38BD9F193FF88C7C3802E6A2C881462925C5FF6EDE773954AAE38EC2FCD33DE
102	10165	D7BC406556C4E4B5EB118C0B354E1B016CD86B077900919599DC2D30D908B4BB
103	12061	BD4CE08BB1880D51CA0C002BCF732310742A55852C033966FF44EE8AB0F68C8E
104	12321	9E7E3204CEA5CFE2B0C9F1F46CD3630C5B180B719D1D4ABCA0F3A810319C822B
105	13975	9BDD19BF48AADC4B314D90C56B7F75C1E12112C12169CE0D496B41B8D3112D89
106	14845	0D1B2A61AC8F175E496A64EC5358A232B37BB0D145E4ED8607E65F399492AAE4
107	17001	C18DB58A15F03C45668316823DD1D3C646066A338BFD0B60A97D5B791BD87853
108	18655	6F84C084BAE8F63B27BFFAAE77CD74D5EA2A8387EE855700E3816C8E7DFE797D
109	19525	9597DC48349E2308AB7B40390E007ACE74AD20DA682B9B3B76014CF8AD87265F
110	21421	AEDB2C656B85D8A2DC5343588FCA550BB5731E2B4B197CC79967A01B76997267
111	21681	DBD946C05C294B3DE0D108C6433B2FF45E289DCCAFF5855C8AA234740BAD4776
112	24204	00DD5EC8DFD2B6AF405C2AEBCE157E147D63EFD4701703A38BA25E5F4AF2C628
113	25929	CBABAC4666AC918DBF10DE3641F52F005BB976A13ACEBE7FE7EBF1C3283A11E0
114	26369	D20A27F3C37E72752F8CE36446389CABF8D40555F3ED1CBEEC13D233CA5B6D49
115	27525	733321D7E96A3D32D6E502B245730003A7C52D6D69E9777C069EAF065BF32D67
116	28884	2ECC521FB65926CBDCC94061C79093BE13A8C7B7126B18A687571937F0E1369A
117	30609	0C94D9B851365EC850BE4D5B3A536C9DD636756726EFF97DB1E0A593C97C1BA8
118	31049	0DACD5448435DB76C62378F46B52AB2223C686D098FA7FBCA6D33AC1E19AEC28
119	32205	625FA8989340D0AE0358A2CCA22408851ABFB065DA91489034D3FF13F319EA71
120	33564	4E3BDE10AFB3200B24D1C03DD1F77257037D3C0C43BBB0FF6E6FD5C6BCED5DBF
121	35289	89C1C3BC5BEB4EC722B9F24B4912DCDAACC5AD877077E84B9A2344F76852D9A5
122	35729	CB946B3C16A39C5AA292FA44C913683848BE7BF0914F6988FDF018EFFD87F76A
123	38244	36A7772F5297AD8213C7AD5756FD6B39B614BC676DA5814C5AB3D33F2570B160
124	39969	79A2587D0DFD7F1CED49134E6B625EFB060A24DC01BB6446DF20A545EA3224F8
125	40409	0F08A415198F403C4B36CA60170A9A58F438B91627AA191B01FAB9D2B53B0C40
126	45203	B1D7FED36045AE53294F3E5F18F831BDA047B6986C984132912A64D64F75C937
127	48109	BB32B520E3FA93E17A4C49417A4DBCF5090190DBDB98857EBEC643EEA7E26BFB
128	48157	DC8B70A12E31734B3DB52F296BE4C68D077105C1ABF17C06F4E7B47BF491B518
129	55403	16B2FC4CAA70BE8B26503E77387289DD7417FD983882EED80CABE571F56BFCE2
130	58359	96285AE2D570B44721CC1C4F664C22E4740E03A3A6728EFF9D27171A4EAAAFF6
131	58935	BCA74C5821C94339246254877563332C9428FE469E2DF59546C04D6AB50FC480
132	65127	6262517FCA0036B8064890839C07E978966D758BCE3E1248868E6E6982A95083
133	65603	8C5B46B0223874A1C47AA3B8308093F0B9236662AD59DF64E26CFE8F941FB276
134	74588	B9CCE8ED9E6A330F86A813422D22D3A3D9594DB18E4658AE96E0FB0EA638C514
135	75803	E3A4730F8AED2BA8261AE6792F533E347810CE1E13B0C935E922E8FBF29B0993
136	78709	6F3B2309E618351334CF65FA1FE1BFCBE25C811240DC2881D9867FA7372AD05F
137	78757	3C7958F7A43B35838B4CF35ADC866F22598E547D1E3048CEA16A6BF894A7ABD7
138	84788	74CBEE1967855B2F9A992F7C1769E1A4FD2C256C1076DFE7D18A704FB0709A8E
139	85211	CD63F7441A4F774739B194FA0874E8F205D9AE5187B522E5EBACFB5D0715FAE5
140	85231	74F5EF40266620A71D0C2065A75168664E9B688B6EACF57F9C191614E7DE8EA8
141	85527	67B3950FA7852900523E10BA26FAE32B85A5275C842AB29CD5B485C3E3F4C2FF
142	86003	37430E06E903F6FB70A3A8500CC178E9EEA1D237E5DB7B9138A8AC7A263089B6
143	89327	FC1BA5BFDA704DE87C033C6CF002B0115550A53503DC64AACA453E907C4EEE8B
144	94143	9A40224B36084E14A60820D818FFEB9416E20F4E8AE416C93688CF41D1E3C3A1
145	95727	56E09E7E99CC1144408685C79CF8B4E5E54A1861580F8E254E43D520EBF0F619
146	96203	9E9A6906EA176E7FBADFF771F2353C98CA0F75B930EB00245BEDF89A7DE46D43
147	97665	E74D2B00C6D33E6A00631042B16B769A08216EC32A6A37EBCAD15D6639E693E5
148	99943	5EA85956BCA6BD3EBF9573E2E09FE92CE7DDE52758256CD780FBD1A7763F3F67
149	103274	5D4B376FE7D918245CC646E9C6641B8E98D4CFABF32E192FC4D0F2BB77D31ED7
150	104709	C5481AB259AD974A8944A0DEDF1516364F93A69B0A57799109B513CC96C3FF61
151	104755	0FC264A6A653C1C620DA7F32F89873263B9A63541792CB4EF2C18152BDD5C161
152	105311	ABB2E012EFC031FA071FFBA3560F8892CEFB45C144CBE76CAAE66F9A77D3112A
153	105753	2E0327C520DB40CD353208293E5DB643C2F9F4829FC9F09E0E639906BDD3D36B
154	107954	49C3F991B1392A047BC7AEF2688133E71F0C285FD32A3BC881533ECF2C2DCB92
155	109389	5630FB46C8CF61D246CB4B226649C8F384DAC5FE33065A37BDC7DA29C83D2BBE
156	109435	EC39C5A7E6EF28A27AFB7F967314CF7010581612EE3D588DEBD2A0C929637E4F
157	109991	9F21BA57452DA1BF87128BBA673A9CE7DE047EC5CE7521563D6CA3CDA75358D8
158	110433	1B643720E2A08E4E3DC5C0200D4C22B8D14ACCC7668FC90C2FA9EE402C220735
159	112634	5181A35957BC3E45B80272F4E69D777A85E706C32251B40164F36F9C615F1CBE
160	114069	77062A7404B331EDAFA829026CD5EBE86B477D2D4DCB80A877F0937A1E690A9D
161	114671	A3E35ABB11023057D283EB56A51527CDF8CFC6DB5F268264B67FDEBC8E78D60E
162	115113	24C10A1EE9A6C547EBECA676FB1E1B16729AD9DF4DC3E4B607ECE8E58ACD313B
163	117314	C6CA59631C96C5FF761E65EBAA6C50EBC327319FC66BA8F027C5A77346FDB72B
164	118749	4A62E66545D4B95C715EBF7632E74AF421BDB92446B014C1183CF938DEFDE4F5
165	118795	E8BF38BA64B56C6921319F072E628CB9C17B95695DC02F138AAD6198DE90E37C
166	119351	A31E34CDF57EC7014C65D0AF63A4162EC924D20CA3C0BC1499D6FDE444F0D21B
167	119793	78CC8496DB52F36DA13164FB8AF0E14134F148F088875B706C681B1F81ABB61A
168	127913	DB7D0AD7FF48484C0B26347804E50EB56E860B99D637261CD94867F776E682F6
169	143562	70BBAB07B564E88492B8C6A2B7A5E060C43227B9BFC1C495E86B86D10A6B8FE6
170	147331	ADAB0F16A6ED5A04790D385827370D3B7571B2BFC078F7B11DD7AB197FC45737
171	154206	14C42A13898A1C6CD7A86C28C6C0DFD814B951B6C9A3301212A1CC4E13348990
172	155244	AE548E291FFE661A040E3BB200F65583C808CE4A36E8ABE8466238645F20276B
173	160690	C75CEAE56D853F3098AA29986A0255609C7D50E7F02F953ECFADEB9865BBEB1C
174	161177	457DB33794E24A1417037FE933B26594E1653306DC8A7A6A07E6DD330EDCE88B
175	164406	993BEED54F028A41E85279FF163F5B55247174D00977863E0642E759544340AC
176	165148	2857869364855C1D28F5678EBC9D19C1604EB9B5B956EF5E2ADCF4E6C84C502F
177	168713	2B44EE9AB34583366DF1B082847C839DC8E1863A56F25F30AE8A35AE84B54353
178	170325	FA8F5095F4915C5CADE4C12FDEB19A6A307F2BE594FDAF4E98B571EB3159867B
179	174606	A6DCC02B826997BB0043B1F4079F544B3EE313635CFF87055DF0B026F62E1C3E
180	177249	2D0159AB1E786D36B4E9E10F7980BF59ED94786D69B81C91CE0F5601535FE3DF
181	188700	EBDB10B9ABB4CD02EA041B1D3F42471E3CB589787F97C4FFA8ABF58F96D41360
182	198900	06C9B872E4ACB54BE68CB9FBA8B9FA4FADC697B0C1566FFCEB5B6F371D1381BD
183	219300	F7E6819510DC007C3FBC1F5A4A7924C05DE43CD8224C2FDE0813610C703DCF19
184	226939	2A5171794FC9B92D852C1E68A56443843B45BDD9AF61A40085AAAE57B0107903
185	230862	059E826E073C5055E31A954D93DF49A1894E773AC9D05BB911E4A194676C8856
186	233219	9B5836FDBB757E13DAD83863F2AB09D2C804688A203B55DD425190B7887BE8C4
187	254843	0C88C300E32AE771A623BBA65BA0FAFCB47282F608874B601B17D8C917D9424E
188	266783	2863889A804E1F6C48F6C96D55C56D0BC5BF607082F8B1821F5388921EB79A4B
189	296087	1A5AB112EA607C462EA02BE741649C596848CF6BEE6AEA11D8F4BF508319E284
190	307724	A0A811BFB784DA859583D1814C516968FD20626B4FB4E09C6321E59C291FA474
191	308245	BAB66C3C0BEA2911D57FE7F10AF6F37630FA756E67CE6AE316A5778BEF8AAC38
192	308421	3C457A7EA30E9279057F0E477A7DFBA630A21F62CC94549059E825915A2DDE88
193	312404	219064EAAA3825338251ADB61BB61FA5925DA09C4D75E9064139A71B456860DD
194	312461	C2BEADE26D928B676D46CC81BE4A4549857AC150A2A89DC4B9AC216D063B4F0E
195	312925	2B9353CD1EB50947C58F5A5C13F20353784F92EF73DA78242FA0671DDC4B835F
196	313101	0E020DCB4CD8334E23CEF39D84F65CC0CA4B48388663BB23FA7F0BCA0A69E4F9
197	317084	1F4E0439AFA85CA1E4FB52CF4E86B9E035ADAAF98E42899EE829AA759E544956
