core_clause_id	master8_clause_id	clause_sha256
140	482	9C5729CFF43AC643A5D6DB1A292F8FD8CD7B971D258537A4A5E88AF180945D68
141	484	E13D8945A1C1A523713B731EC97390885F3963BFF021D2322047302FF8FB6EE0
142	488	611A6DD7C214F9973F84A7C27B950BFA8D9422499EAA89C36C3C2110ABFB3D1D
143	490	F51CE9AA3239FDA19904615B199D12F8110C9A7C4E7D8373DB21F3C6AC5EFA45
144	494	9BDCBB9C8109061C0F1DB84C385872E1E532CFF8208269BC8C383BD0263C9BE3
145	497	752E3FF720A7D81EC027C06BC70541777C36A3CFCDD4CB2F740DDE43FA4B9BF2
146	499	27BBAD93FEAD10581D687A1AA4AF1E046479F3B45870839DF58AF1A2D2F608E4
147	502	2A5D4C29328FC3F4A917535BB88868683BF0B1E520351A2C1A76D2DD00B2D4D2
148	504	8673E0BC958DB8D3C67749FA74D27DE3852788C9BC1D6A82B3C8332104D531D1
149	506	B1E1BCA6DFA507FA8ACBAF1BA1703F178EA46A570B4005F5E3108C963DF6A825
150	526	6D2AE45199B129B4122C9B987520FF1BD287A401E349F4602AAA32DBD77F6568
151	528	55636ADC0714ABA43BAE83997386E38CFABB772AB6655858A4A205F802AE4867
152	530	3DDDA87A7A80A5DB6BB868F620C1EAE3D0B36C5AC2AFCE900A307084ECB2EE4B
153	534	F68E5B5352788AD23BB5B016CE05D4CF52E6AFF8BF5182BF76AED1AE981A3159
154	538	DE6603AE255FA3A899A92458C5E54430479521899DD22E241F11E0747AA66703
155	540	F46C141E694B653E8BF835AA396413ABB792EDB4DD01934A081E482D9B6AD978
156	542	557D2FA8922C63AD2EEDC8B12B755BB18C1DADD1938414CFFD43221C5EE7B11A
157	544	AAE9CEF65AEDD486BCB8980626AC7E9FCE9DCD26CD457D6A60BC7F4E8C513438
158	547	A8BBD59D7A09B8F17DF225E4D2A5BB0B3228F49895DA610224D0BBB54119F5D9
159	549	5C8D6CCE232988F5A0CCA0905473456739B8EBBCA0461C6E0D575FB19F1F88D6
160	554	5B8E4D2CEE374EB55A4560EA47A4461035774DC8A1AC0340C8B0E33752CA6906
161	558	60C21801E13388D27FE9226183E69293C9BAE9FA68370F090F78AF84F54B2EB2
162	560	06ECE766EBD79521B7992B473043834366E04CAAFE40AA00F37E521D97597275
163	562	E749375A4B3582AB557AA2A5B31717D4438D00175E606F66B1D5A8082C9AA513
164	564	EFFA2021834A56840E6510936895F64F3907F522139D4EC2A262D41C3AD67FBB
165	565	8C9C2EC23DC331C47662F79F01D3F7E77BDED87020E3EEB6179F46B99B099BE2
