core_clause_id	fodpo_clause_id	clause_sha256
90	396	A92FFEEBEA90996B82A61E6E21FF64D048D38770F70FAA99ADA9BD0BC669B4CC
91	398	091B9D7D02ADFE787C7B844EAB46AC1CCE616892FF60FFC52245119A110A14B3
92	400	61E274CA6FDB4E7FE649658946F984A6B0929A3D2085261F8FCDEF093EA8427A
93	401	DDABCA97D040E0FE0C5F83EC7367B415B9770A62285E8B8B3973FE70C1B8CD1D
94	403	4E8D475DF1712C3A31F3920F2E6F55CB31619E02EBFF1B01E6D01FD02A9EEDF4
95	405	474C042319C702894F9A16FF93EF9B266072F7AFE50493C8F46E82077AADD704
96	407	1E5B4EAA12BF5393F5D37E03C23CBC18F0653671FDFE891B1A99345A99A3EDDF
97	440	9A58D1B885D99E5039F7CEF03833876DAF2DD08835B6A56C4BC33790C70C4F28
98	442	87E6FA2FA63EB83573C320A3A5AD9BFB8605C6F61B2C8FB3077423931A2EE1CF
99	444	88C7E4F5B892C1BDD958EBD91B6AA4958CE1EC4D544D22DAE1A1B69EA6333B53
100	446	2EF37796EC12633C950FED10E9B0EFD2399DF41996599176BB77D2B1DC47E5B8
101	448	0AFFFE508AA56EDFAE365BC0AA71FDD1A4807A49A0D2644D7D6588D1A62594B1
102	450	FFFB08784F1FC068A53C37E03CD77D285C5DA4BEE879A969884BC7E1FE3758A7
103	454	4F09214C9AB3C24BFB9814A1BF9C9F40D999927034AEB0C92BDF67043108350A
104	456	5CBE7403B0DB36EA662E9BDC446499AC05B583671F6403FE0DE5490AD16016B8
105	458	1D36D969976CB4F7C93C4829C5095EE306185D1711999267E079CE5637F61C89
106	460	B6A90886F01D0B2FB7997C438D7ACC6D264EF16EE2918E45BFE5A878D703AD94
107	470	C78A1EFCA2E1D3DB8C01B12A41EAC2A9DD4709597E6BFD03B111573ACB66ABFE
108	472	D9E0646B8290BE0BBD4E60454FC556A10C1F3113014F1F40E534C6A1BBAC69D4
109	474	1D05DA5C7C992A7A588C032CA511A1A0461B0A8CEE961DE7B73A502612868C0F
110	476	D34F93CF5BD6ED3D5F569D75B53A779FFF091B51040C191E2670B91F09BDB93F
111	478	AE64E5930D768C654B69FE3A4ADA37EB9E80327225D8918B99762C8CEAF8331F
112	480	D08CACA0EB1C839324A06A65AEDBF402F24206C7E2F78E33BC044A2518557188
113	490	F51CE9AA3239FDA19904615B199D12F8110C9A7C4E7D8373DB21F3C6AC5EFA45
114	492	DF6AC7671C83325492A94BF861AC9E6F54F225A1883E297066CCCC31BEF41A8E
